task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-24T15:39:59,Lyrics Analysis,ae6611ec-84f2-4f89-90a3-46ef53c31a42,0.656843900680542,6.063996023320918e-06,9.197796215681821e-06,42.5,0.0,141.20075225830078,7.782911260922751e-06,0,2.5827903753770444e-05,3.36108150146932e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_model,2024-05-24T15:40:11,Lyrics Analysis,ae6611ec-84f2-4f89-90a3-46ef53c31a42,11.951168775558472,0.00011000493636303766,9.20584777491066e-06,42.5,0.0,141.20075225830078,0.0001410686857170529,0,0.00046865393820648925,0.0006097226239235422,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query_expansion,2024-05-24T15:40:11,Lyrics Analysis,ae6611ec-84f2-4f89-90a3-46ef53c31a42,0.18125510215759277,1.6636237764501035e-06,9.188362902380627e-06,42.5,0.0,141.20075225830078,2.136484616332572e-06,0,7.084456622624235e-06,9.22094123895678e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
