task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-18T11:37:36,Text Classification,282630c0-cd30-4f99-86a9-82e9fae8826a,0.3720228672027588,3.449484238257601e-06,9.195204635460577e-06,42.5,0.0,141.20075225830078,4.427513976891835e-06,0,1.4691887846970531e-05,1.9119401823862366e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorize_MLP,2024-05-18T11:37:47,Text Classification,282630c0-cd30-4f99-86a9-82e9fae8826a,10.427231788635254,9.597436312464696e-05,9.2056354224682e-06,42.5,0.0,141.20075225830078,0.00012307857639259765,0,0.00040887701076969734,0.0005319555871622951,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
train_classifier_MLP,2024-05-18T11:38:50,Text Classification,282630c0-cd30-4f99-86a9-82e9fae8826a,63.12682318687439,0.0005810998547716847,9.206143721561212e-06,42.5,0.0,141.20075225830078,0.0007451724888549911,0,0.002475680501266197,0.0032208529901211888,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predict_MLP,2024-05-18T11:38:50,Text Classification,282630c0-cd30-4f99-86a9-82e9fae8826a,0.017922163009643555,1.5671111468728e-07,8.722286355494005e-06,42.5,0.0,141.20075225830078,2.0883397923573618e-07,0,6.597662418469583e-07,8.686002210826944e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
