timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-18T11:19:05,Text Classification,43de51e0-6667-474b-86e1-57d9e05b89e5,4.8212056159973145,0.0001503497382591,3.11850914966681e-05,42.5,0.0,141.20075225830078,0.00019282324281,0,0.0006405178775833,0.0008333411203933,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N,1.0
2024-05-18T11:25:48,Text Classification,311351f4-bf86-4fba-bd22-671faead0742,5.044113874435425,0.0001588495862311,3.14920698036311e-05,42.5,0.0,141.20075225830078,0.0002037276246481,0,0.0006767254688967,0.0008804530935449,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N,1.0
2024-05-18T11:38:54,Text Classification,282630c0-cd30-4f99-86a9-82e9fae8826a,3.87855863571167,0.0007162187301006636,0.0001846610551420079,42.5,0.0,141.20075225830078,0.0009184626011384858,0,0.0030513116458915418,0.003969774247030028,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N,1.0
